"","PLAYER_ID","PLAYER_NAME","PLAYER_LAST_TEAM_ID","PLAYER_LAST_TEAM_ABBREVIATION","AGE","GP","G","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"368","1630192","Zeke Nnaji","1610612743","DEN","23","51","7","0.068","3","9","0.333","0.389","0.053","2","7","0.286","0.015","1","2","0.5"
"369","1641748","Andre Jackson Jr.","1610612749","MIL","22","50","8","0.101","3","9","0.333","0.389","0.056","2","5","0.4","0.045","1","4","0.25"
"370","1626158","Richaun Holmes","1610612764","WAS","30","40","9","0.061","3","9","0.333","0.333","0.054","3","8","0.375","0.007","0","1","0"
"371","1629642","Nassir Little","1610612756","PHX","24","40","7","0.078","3","9","0.333","0.333","0.043","3","5","0.6","0.034","0","4","0"
"372","1630527","Brandon Boston Jr.","1610612746","LAC","22","26","8","0.096","3","9","0.333","0.444","0.043","1","4","0.25","0.053","2","5","0.4"
"373","203496","Robert Covington","1610612755","PHI","33","29","7","0.092","3","9","0.333","0.389","0.051","2","5","0.4","0.041","1","4","0.25"
"374","1628981","Bruno Fernando","1610612737","ATL","25","37","9","0.063","2","9","0.222","0.222","0.056","2","8","0.25","0.007","0","1","0"
"375","1629139","Yuta Watanabe","1610612763","MEM","29","33","8","0.08","2","9","0.222","0.333","0.009","0","1","0","0.071","2","8","0.25"
"376","1631124","Julian Strawther","1610612743","DEN","21","43","8","0.043","1","9","0.111","0.167","0.014","0","3","0","0.029","1","6","0.167"
"377","1631116","Patrick Baldwin Jr.","1610612764","WAS","21","32","7","0.086","1","9","0.111","0.167","0.038","0","4","0","0.048","1","5","0.2"
"378","1630556","Kessler Edwards","1610612758","SAC","23","48","7","0.113","3","8","0.375","0.438","0.07","2","5","0.4","0.042","1","3","0.333"
"379","1631288","Jamal Cain","1610612748","MIA","25","21","5","0.103","2","8","0.25","0.313","0.077","1","6","0.167","0.026","1","2","0.5"
"380","1629637","Jaxson Hayes","1610612747","LAL","23","62","8","0.054","2","8","0.25","0.25","0.041","2","6","0.333","0.014","0","2","0"
"381","1629020","Jarred Vanderbilt","1610612747","LAL","24","28","5","0.067","2","7","0.286","0.286","0.038","2","4","0.5","0.029","0","3","0"
"382","1629667","Jalen McDaniels","1610612761","TOR","26","42","7","0.048","2","7","0.286","0.286","0.027","2","4","0.5","0.02","0","3","0"
"383","1630590","Scotty Pippen Jr.","1610612763","MEM","23","13","5","0.067","2","7","0.286","0.357","0.038","1","4","0.25","0.029","1","3","0.333"
"384","1628418","Thomas Bryant","1610612748","MIA","26","36","6","0.053","2","7","0.286","0.357","0.03","1","4","0.25","0.023","1","3","0.333"
"385","1629650","Moses Brown","1610612757","POR","24","19","7","0.137","2","7","0.286","0.286","0.137","2","7","0.286","0","0","0",NA
"386","1630249","Vit Krejci","1610612737","ATL","23","14","6","0.109","2","7","0.286","0.286","0.031","2","2","1","0.078","0","5","0"
"387","1630322","Lindy Waters III","1610612760","OKC","26","31","7","0.101","2","7","0.286","0.429","0.029","0","2","0","0.072","2","5","0.4"
"388","201988","Patty Mills","1610612748","MIA","35","30","5","0.056","1","7","0.143","0.214","0.008","0","1","0","0.048","1","6","0.167"
"389","1630647","Eugene Omoruyi","1610612764","WAS","27","36","5","0.06","1","7","0.143","0.214","0.034","0","4","0","0.026","1","3","0.333"
"390","1630587","Isaiah Livers","1610612764","WAS","25","23","6","0.061","0","7","0","0","0.018","0","2","0","0.044","0","5","0"
"391","1629111","Jock Landale","1610612745","HOU","28","48","7","0.046","0","7","0","0","0.046","0","7","0","0","0","0",NA
"392","1641787","Tosan Evbuomwan","1610612765","DET","23","14","6","0.107","5","6","0.833","0.917","0.089","4","5","0.8","0.018","1","1","1"
"393","1641712","Rayan Rupert","1610612757","POR","19","30","5","0.065","4","6","0.667","0.833","0.043","2","4","0.5","0.022","2","2","1"
"394","1641763","Julian Phillips","1610612741","CHI","20","39","4","0.079","4","6","0.667","0.75","0.053","3","4","0.75","0.026","1","2","0.5"
"395","1641720","Jalen Hood-Schifino","1610612747","LAL","20","20","4","0.143","3","6","0.5","0.583","0.095","2","4","0.5","0.048","1","2","0.5"
"396","1630568","Luka Garza","1610612750","MIN","25","20","5","0.105","3","6","0.5","0.5","0.07","3","4","0.75","0.035","0","2","0"
"397","1641732","Colby Jones","1610612758","SAC","21","23","5","0.111","2","6","0.333","0.333","0.093","2","5","0.4","0.019","0","1","0"
"398","1630197","Aleksej Pokusevski","1610612766","CHA","22","19","5","0.087","2","6","0.333","0.333","0.058","2","4","0.5","0.029","0","2","0"
"399","1631241","Javon Freeman-Liberty","1610612761","TOR","24","13","4","0.088","2","6","0.333","0.333","0.044","2","3","0.667","0.044","0","3","0"
"400","1630184","Kira Lewis Jr.","1610612762","UTA","22","24","6","0.087","1","6","0.167","0.167","0.043","1","3","0.333","0.043","0","3","0"
"401","1631109","Mark Williams","1610612766","CHA","22","19","4","0.033","4","5","0.8","0.8","0.033","4","5","0.8","0","0","0",NA
"402","1630639","A.J. Lawson","1610612742","DAL","23","35","5","0.052","4","5","0.8","0.9","0.041","3","4","0.75","0.01","1","1","1"
"403","1630649","Stanley Umude","1610612765","DET","24","23","4","0.063","4","5","0.8","1.2","0","0","0",NA,"0.063","4","5","0.8"
"404","1630579","Jericho Sims","1610612752","NYK","25","43","3","0.1","4","5","0.8","0.8","0.1","4","5","0.8","0","0","0",NA
"405","1629677","Luka Samanic","1610612762","UTA","24","35","4","0.056","3","5","0.6","0.8","0.034","1","3","0.333","0.022","2","2","1"
"406","1630696","Dru Smith","1610612748","MIA","26","9","4","0.152","3","5","0.6","0.7","0.091","2","3","0.667","0.061","1","2","0.5"
"407","203486","Mason Plumlee","1610612746","LAC","34","39","5","0.041","3","5","0.6","0.6","0.041","3","5","0.6","0","0","0",NA
"408","1630209","Omer Yurtseven","1610612762","UTA","25","40","5","0.042","3","5","0.6","0.7","0.034","2","4","0.5","0.008","1","1","1"
"409","203925","Joe Harris","1610612765","DET","32","16","4","0.128","3","5","0.6","0.7","0.051","2","2","1","0.077","1","3","0.333"
"410","1630547","James Bouknight","1610612766","CHA","23","14","4","0.122","3","5","0.6","0.9","0","0","0",NA,"0.122","3","5","0.6"
"411","1629674","Neemias Queta","1610612738","BOS","24","26","5","0.06","3","5","0.6","0.6","0.06","3","5","0.6","0","0","0",NA
"412","1641730","Noah Clowney","1610612751","BKN","19","16","5","0.125","2","5","0.4","0.4","0.1","2","4","0.5","0.025","0","1","0"
"413","1631197","Jared Rhoden","1610612765","DET","24","10","4","0.2","2","5","0.4","0.5","0.08","1","2","0.5","0.12","1","3","0.333"
"414","1630243","Trevelin Queen","1610612753","ORL","27","13","5","0.132","2","5","0.4","0.4","0.079","2","3","0.667","0.053","0","2","0"
"415","1629618","Jalen Pickett","1610612743","DEN","24","23","3","0.152","2","5","0.4","0.6","0","0","0",NA,"0.152","2","5","0.4"
"416","1631221","Collin Gillespie","1610612743","DEN","24","24","3","0.072","2","5","0.4","0.5","0.014","1","1","1","0.058","1","4","0.25"
"417","1630548","Johnny Juzang","1610612762","UTA","23","13","4","0.079","2","5","0.4","0.4","0.032","2","2","1","0.048","0","3","0"
