"","player_name","drives","drive_fta","drive_pts","drive_fg_pct"
"492","Sasha Vezenkov","21","2","4","0.111"
"493","Scoot Henderson","652","81","326","0.418"
"494","Scottie Barnes","598","74","323","0.469"
"495","Scotty Pippen Jr.","128","22","54","0.439"
"496","Seth Curry","85","6","33","0.406"
"497","Seth Lundy","4","2","2","0"
"498","Shaedon Sharpe","234","39","120","0.389"
"499","Shai Gilgeous-Alexander","1675","312","1195","0.576"
"500","Shake Milton","169","18","81","0.425"
"501","Shaquille Harrison","2","0","2","0.5"
"502","Sidy Cissoko","2","0","2","1"
"503","Simone Fontecchio","209","20","115","0.47"
"504","Skylar Mays","139","12","66","0.418"
"505","Spencer Dinwiddie","510","108","284","0.463"
"506","Stanley Umude","26","6","22","0.538"
"507","Stephen Curry","614","94","379","0.504"
"508","Svi Mykhailiuk","32","2","6","0.286"
"509","T.J. McConnell","882","30","457","0.548"
"510","T.J. Warren","16","0","10","0.417"
"511","Taj Gibson","1","0","0","0"
"512","Talen Horton-Tucker","382","48","199","0.433"
"513","Tari Eason","60","8","36","0.484"
"514","Taurean Prince","220","26","126","0.53"
"515","Taylor Hendricks","47","4","18","0.333"
"516","Taze Moore","0","0","0","0"
"517","Terance Mann","170","30","100","0.487"
"518","Terquavion Smith","9","0","4","0.4"
"519","Terry Rozier","644","54","388","0.496"
"520","Terry Taylor","14","0","6","0.375"
"521","Thaddeus Young","16","0","12","0.462"
"522","Thanasis Antetokounmpo","13","0","8","0.444"
"523","Theo Maledon","77","4","22","0.321"
"524","Thomas Bryant","11","4","9","0.5"
"525","Tim Hardaway Jr.","228","40","170","0.477"
"526","Tobias Harris","510","44","344","0.521"
"527","Torrey Craig","58","1","26","0.414"
"528","Tosan Evbuomwan","47","10","29","0.625"
"529","Toumani Camara","197","36","106","0.459"
"530","Trae Young","810","133","454","0.451"
"531","Trayce Jackson-Davis","17","2","16","0.636"
"532","Tre Jones","567","42","278","0.513"
"533","Tre Mann","352","18","133","0.513"
"534","Trendon Watford","186","28","164","0.578"
"535","Trent Forrest","168","12","49","0.339"
"536","Trevelin Queen","26","6","9","0.333"
"537","Trey Jemison","13","2","10","0.571"
"538","Trey Lyles","91","8","31","0.522"
"539","Trey Murphy III","198","50","106","0.493"
"540","Tristan Thompson","26","6","26","0.75"
"541","Tristan Vukcevic","3","0","4","0.667"
"542","Troy Brown Jr.","57","10","25","0.333"
"543","Ty Jerome","7","0","4","0.667"
