"","GROUP_SET","GROUP_ID","GROUP_NAME","TEAM_ID","TEAM_ABBREVIATION","GP","W","L","W_PCT","MIN","E_OFF_RATING","OFF_RATING","E_DEF_RATING","DEF_RATING","E_NET_RATING","NET_RATING","AST_PCT","AST_TO","AST_RATIO","OREB_PCT","DREB_PCT","REB_PCT","TM_TOV_PCT","EFG_PCT","TS_PCT","E_PACE","PACE","PACE_PER40","POSS","PIE","GP_RANK","W_RANK","L_RANK","W_PCT_RANK","MIN_RANK","OFF_RATING_RANK","DEF_RATING_RANK","NET_RATING_RANK","AST_PCT_RANK","AST_TO_RANK","AST_RATIO_RANK","OREB_PCT_RANK","DREB_PCT_RANK","REB_PCT_RANK","TM_TOV_PCT_RANK","EFG_PCT_RANK","TS_PCT_RANK","PACE_RANK","PIE_RANK"
"1874","Lineups","-203471-1627751-1627783-1630193-1630567-","D. Schroder - J. Poeltl - P. Siakam - I. Quickley - S. Barnes","1610612761","TOR","3","2","1","0.667","12","132.5","127.6","103.8","100","28.7","27.6","0.583","3.5","17.9","0.273","0.643","0.48","0.069","0.6","0.663","105.7","109.82","91.52","29","0.722","2278","1606","4581","5127","1865","4221","5668","4231","7167","883","6408","5969","8812","8220","6740","4987","4668","5771","3489"
"1875","Lineups","-203471-1627751-1629628-1630193-1630567-","D. Schroder - J. Poeltl - R. Barrett - I. Quickley - S. Barnes","1610612761","TOR","3","2","1","0.667","12","116.8","108.7","106","100","10.8","8.7","0.625","1.25","14.3","0.583","0.8","0.704","0.174","0.5","0.558","86.5","92.29","76.91","23","0.6","2278","1606","4581","5127","1975","6530","5668","5777","6499","4423","8135","1536","5280","1996","10791","6808","7240","12880","5015"
"1876","Lineups","-203471-1628969-1629651-1629661-1630592-","D. Schroder - M. Bridges - N. Claxton - C. Johnson - J. Wilson","1610612751","BKN","4","1","3","0.25","12","91.2","85.7","100.9","103.8","-9.7","-18.1","0.7","1.4","17.9","0.267","0.7","0.44","0.179","0.458","0.474","105.7","107.55","89.63","28","0.446","1614","3115","13689","8354","1907","9659","7530","9399","5022","4186","6408","6048","7356","9081","10885","8896","9764","6543","8008"
"1877","Lineups","-1628372-1628969-1629651-1629661-1630560-","D. Smith Jr. - M. Bridges - N. Claxton - C. Johnson - C. Thomas","1610612751","BKN","6","2","4","0.333","12","142.7","134.6","117.6","107.1","25.2","27.5","0.429","6","18.2","0.125","0.5","0.364","0.038","0.69","0.714","97.5","105.22","87.69","26","0.591","926","1606","14390","7783","1845","3396","7805","4236","9535","171","6106","8367","9846","10689","6268","3388","3615","7564","5240"
"1878","Lineups","-201569-203078-1626164-1628966-1629234-","E. Gordon - B. Beal - D. Booker - K. Bates-Diop - D. Eubanks","1610612756","PHX","5","2","3","0.4","12","117.4","121.4","91.9","83.3","25.5","38.1","0.333","1","10.8","0.333","0.786","0.552","0.143","0.5","0.567","109.9","113.48","94.57","28","0.621","1192","1606","13689","7618","1860","4947","4459","3488","9923","4604","9811","4292","5738","5013","9320","6808","7040","4649","4753"
"1879","Lineups","-201569-1626164-1626220-1628960-1629234-","E. Gordon - D. Booker - R. O'Neale - G. Allen - D. Eubanks","1610612756","PHX","9","6","3","0.667","12","113.5","109.7","104.3","100","9.2","9.7","0.5","2","14","0.412","0.8","0.556","0.097","0.464","0.532","108.5","112.71","93.93","31","0.559","464","357","13689","5127","1841","6427","5668","5714","7668","2320","8667","3470","5280","4814","7554","8813","7773","4841","5780"
"1880","Lineups","-1627832-1628415-1630578-1631095-1641715-","F. VanVleet - D. Brooks - A. Sengun - J. Smith Jr. - C. Whitmore","1610612745","HOU","5","3","2","0.6","12","148.6","157.1","140.3","150","8.3","7.1","0.615","8","23.5","0.5","0.455","0.476","0.048","0.659","0.682","94.7","89.09","74.24","21","0.528","1192","981","11854","5749","1996","1874","12023","5913","6648","51","3375","1682","11235","8283","6356","4024","4171","13616","6355"
"1881","Lineups","-203914-1628371-1630532-1630591-1631094-","G. Harris - J. Isaac - F. Wagner - J. Suggs - P. Banchero","1610612753","ORL","7","4","3","0.571","12","108.7","96.9","102","93.8","6.7","3.1","0.636","1.75","16.3","0.308","0.667","0.5","0.125","0.522","0.584","114.1","126.09","105.08","32","0.579","743","677","13689","5911","1878","8884","5429","6200","6383","3514","7551","5482","7653","5848","8573","6681","6506","2496","5416"
"1882","Lineups","-203914-1628365-1628371-1630591-1631094-","G. Harris - M. Fultz - J. Isaac - J. Suggs - P. Banchero","1610612753","ORL","4","4","0","1","12","150.2","160","100.6","100","49.6","60","0.714","2.5","27","0.25","0.818","0.579","0.16","0.833","0.846","103.1","100.24","83.53","25","0.696","1614","677","1","1","1824","1718","5668","2346","4807","1815","2037","6171","5152","4310","10121","1690","1915","9953","3756"
"1883","Lineups","-1627777-1629622-1629636-1630241-1630596-","G. Niang - M. Strus - D. Garland - S. Merrill - E. Mobley","1610612739","CLE","4","2","2","0.5","12","121","117.4","122.3","125","-1.4","-7.6","0.9","4.5","25.7","0.25","0.545","0.391","0.087","0.545","0.579","95.7","96","80","23","0.382","1614","1606","11854","6028","1961","5466","9875","8512","3314","473","2220","6171","9761","10334","7219","6264","6693","11580","9091"
