"","PLAYER_NAME","CONTESTED_SHOTS","BLK","pct_blocked"
"483","Marques Bolden",11,1,0.0909090909090909
"484","Dereon Seabron",10,1,0.1
"485","Javonte Green",10,6,0.6
"486","Juan Toscano-Anderson",10,1,0.1
"487","Malik Williams",10,3,0.3
"488","Saben Lee",10,3,0.3
"489","T.J. Warren",10,1,0.1
"490","D.J. Wilson",9,2,0.222222222222222
"491","Devonte' Graham",9,1,0.111111111111111
"492","Ish Wainright",9,1,0.111111111111111
"493","James Bouknight",9,1,0.111111111111111
"494","Jeff Dowtin Jr.",9,1,0.111111111111111
"495","Jett Howard",9,1,0.111111111111111
"496","Seth Lundy",9,0,0
"497","Terquavion Smith",9,0,0
"498","Wendell Moore Jr.",9,1,0.111111111111111
"499","Brandon Williams",8,1,0.125
"500","Braxton Key",8,1,0.125
"501","D.J. Carton",8,0,0
"502","DaQuan Jeffries",8,1,0.125
"503","Hunter Tyson",8,0,0
"504","Jamaree Bouyea",8,0,0
"505","Keyontae Johnson",8,0,0
"506","R.J. Hampton",8,0,0
"507","Ryan Arcidiacono",8,0,0
"508","Chris Livingston",7,0,0
"509","Sidy Cissoko",7,0,0
"510","Buddy Boeheim",6,1,0.166666666666667
"511","Charlie Brown Jr.",6,2,0.333333333333333
"512","E.J. Liddell",6,2,0.333333333333333
"513","James Johnson",6,1,0.166666666666667
"514","Jordan Walsh",6,1,0.166666666666667
"515","Kobi Simmons",6,2,0.333333333333333
"516","Nate Hinton",6,2,0.333333333333333
"517","Adama Sanogo",5,0,0
"518","Alex Fudge",5,0,0
"519","D'Moi Hodge",5,1,0.2
"520","Danny Green",5,0,0
"521","Dexter Dennis",5,1,0.2
"522","Mamadi Diakite",5,1,0.2
"523","Oscar Tshiebwe",5,1,0.2
"524","Amari Bailey",4,0,0
"525","Jacob Toppin",4,1,0.25
"526","Leonard Miller",4,1,0.25
"527","TyTy Washington Jr.",4,0,0
"528","Usman Garuba",4,0,0
"529","Daishen Nix",3,0,0
"530","Filip Petrusev",3,0,0
"531","Frank Ntilikina",3,0,0
"532","Jalen Slawson",3,1,0.333333333333333
"533","Jason Preston",3,0,0
"534","Jordan Miller",3,0,0
"535","Keon Johnson",3,1,0.333333333333333
"536","Lindell Wigginton",3,0,0
"537","Timmy Allen",3,0,0
"538","Dariq Whitehead",2,1,0.5
"539","Drew Peterson",2,0,0
"540","Joshua Primo",2,1,0.5
"541","Kendall Brown",2,0,0
"542","Kevon Harris",2,0,0
"543","Mason Jones",2,0,0
"544","Pat Spencer",2,0,0
"545","Shaquille Harrison",2,1,0.5
"546","Ty Jerome",2,0,0
"547","Xavier Moon",2,1,0.5
"548","Adam Flagler",1,0,0
"549","Dmytro Skapintsev",1,0,0
"550","Jalen Crutcher",1,0,0
"551","Javonte Smart",1,0,0
"552","Pete Nance",1,0,0
"553","Ron Harper Jr.",1,0,0
"554","Taze Moore",1,0,0
"555","Alondes Williams",0,0,NA
"556","Andrew Funk",0,0,NA
"557","Hamidou Diallo",0,0,NA
"558","Henri Drell",0,0,NA
"559","Isaiah Thomas",0,0,NA
"560","Isaiah Wong",0,0,NA
"561","Izaiah Brockington",0,0,NA
"562","JD Davison",0,0,NA
"563","Jordan Ford",0,0,NA
"564","Justin Jackson",0,0,NA
"565","Kaiser Gates",0,0,NA
"566","Malcolm Cazalon",0,0,NA
"567","Markquis Nowell",0,0,NA
"568","Mouhamed Gueye",0,0,NA
"569","Quenton Jackson",0,0,NA
